Time	sum(Output total – Blocks (ZEC)) – Zcash
30.06.2017	52993877148445
01.07.2017	14219152648195
02.07.2017	47221208847265
03.07.2017	40159792758464
04.07.2017	23328251581429
05.07.2017	26279268605604
06.07.2017	40584870245008
07.07.2017	13935185974603
08.07.2017	29639400636866
09.07.2017	11701066498359
10.07.2017	27351810704423
11.07.2017	20468458792355
12.07.2017	31438448194690
13.07.2017	14730589555276
14.07.2017	22175463127654
15.07.2017	35794322461362
16.07.2017	48736971257183
17.07.2017	38622793923172
18.07.2017	35361783664085
19.07.2017	39970046836362
20.07.2017	34944245601888
21.07.2017	42116653844650
22.07.2017	39120747512848
23.07.2017	43015818295714
24.07.2017	26138200446979
25.07.2017	21688928014243
26.07.2017	25555634563373
27.07.2017	24815659779209
28.07.2017	26440159387267
29.07.2017	25395939752916
30.07.2017	26260861516259
31.07.2017	32503508665985
01.08.2017	26535670029098
02.08.2017	36926915020253
03.08.2017	45421213303781
04.08.2017	38293157825486
05.08.2017	41771897647112
06.08.2017	32990247388691
07.08.2017	42114296123315
08.08.2017	46365808137813
09.08.2017	58289324123478
10.08.2017	61890771463015
11.08.2017	56835154053827
12.08.2017	63234803553496
13.08.2017	37024241173021
14.08.2017	59294990970895
15.08.2017	39928345183627
16.08.2017	43004529793113
17.08.2017	106561954927933
18.08.2017	99904558290652
19.08.2017	209031770110697
20.08.2017	134229422937169
21.08.2017	45659361956399
22.08.2017	64748035747117
23.08.2017	56193526885457
24.08.2017	41864560660673
25.08.2017	55351265670418
26.08.2017	99281904452160
27.08.2017	146675585294120
28.08.2017	84685431642902
29.08.2017	51492695110765
30.08.2017	56860202358837
31.08.2017	60679893291702
01.09.2017	60411960318866
02.09.2017	66112299882975
03.09.2017	51455285226237
04.09.2017	51407219851000
05.09.2017	35345767103113
06.09.2017	33554779436052
07.09.2017	35699009126018
08.09.2017	41803555231301
09.09.2017	67400623223845
10.09.2017	35171642000173
11.09.2017	42484728747320
12.09.2017	30560745050588
13.09.2017	63954126982942
14.09.2017	47194386933419
15.09.2017	40146887521866
16.09.2017	18681445159335
17.09.2017	28929391100625
18.09.2017	85158916517698
19.09.2017	392510657157983
20.09.2017	36012497089749
21.09.2017	29727181790847
22.09.2017	30644749972229
23.09.2017	39318277774652
24.09.2017	19575389238068
25.09.2017	44106395991433
26.09.2017	38119926498855
27.09.2017	79776906067888
28.09.2017	121584851267265
29.09.2017	195820798518383
30.09.2017	193200934707921
01.10.2017	121093966947575
02.10.2017	116109708162101
03.10.2017	100316131751878
04.10.2017	115528424099450
05.10.2017	131592800680571
06.10.2017	136965541617542
07.10.2017	116639142915673
08.10.2017	108568658653818
09.10.2017	166603515358234
10.10.2017	130177877209527
11.10.2017	103194486525885
12.10.2017	122322282197401
13.10.2017	141823452847694
14.10.2017	102614469513432
15.10.2017	150709711670418
16.10.2017	143416832140321
17.10.2017	141706124735417
18.10.2017	126769175163102
19.10.2017	102635190164716
20.10.2017	95322319413392
21.10.2017	100079735350516
22.10.2017	101159270979741
23.10.2017	103790400609402
24.10.2017	110954307537522
25.10.2017	67706055237028
26.10.2017	33343708522432
27.10.2017	60641104259566
28.10.2017	33715761847709
29.10.2017	143474209665475
30.10.2017	161058831087806
31.10.2017	136451787316388
01.11.2017	142604940827546
02.11.2017	123865722649203
03.11.2017	133799221156982
04.11.2017	170316244240802
05.11.2017	162594400449101
06.11.2017	122491973673759
07.11.2017	121501694561597
08.11.2017	157066577635247
09.11.2017	114931291722119
10.11.2017	193491181184026
11.11.2017	126032668785287
12.11.2017	122858650973917
13.11.2017	136892830862973
14.11.2017	138481132152526
15.11.2017	231241710652881
16.11.2017	161781087540087
17.11.2017	170721536426760
18.11.2017	123677942018127
19.11.2017	115568873720600
20.11.2017	107603417456803
21.11.2017	143517003231716
22.11.2017	171193951780846
23.11.2017	135060644872178
24.11.2017	157356225682149
25.11.2017	307113483429529
26.11.2017	174029728575309
27.11.2017	136084655918935
28.11.2017	178178304534690
29.11.2017	146514087574722
30.11.2017	187328542741213
01.12.2017	100976144440551
02.12.2017	108690185963431
03.12.2017	135811744108334
04.12.2017	135783177831132
05.12.2017	144358486012064
06.12.2017	267837831331196
07.12.2017	171652232827221
08.12.2017	235127656691078
09.12.2017	148896154310397
10.12.2017	169482477828558
11.12.2017	156243026017880
12.12.2017	210417627622292
13.12.2017	208371740165528
14.12.2017	303372853707192
15.12.2017	132544123013186
16.12.2017	26303514352495
17.12.2017	33196165976113
18.12.2017	130461908954554
19.12.2017	139465713264025
20.12.2017	66592056569138
21.12.2017	38033742080234
22.12.2017	96649108953719
23.12.2017	39058947140457
24.12.2017	86798438746424
25.12.2017	73228673602978
26.12.2017	78582296909945
27.12.2017	47343876942704
28.12.2017	45239189872475
29.12.2017	110147926298299
30.12.2017	157433558338162
31.12.2017	121032107908122
01.01.2018	41695954342948
02.01.2018	370566136520441
03.01.2018	382946258774112
04.01.2018	322883124326136
05.01.2018	250479343040991
06.01.2018	187479724326044
07.01.2018	67648127747508
08.01.2018	44863050378044
09.01.2018	42533027296375
10.01.2018	50353847955637
11.01.2018	116123553954826
12.01.2018	123028694026337
13.01.2018	133301076821981
14.01.2018	177791716671533
15.01.2018	155494578556876
16.01.2018	55216567334276
17.01.2018	85312203110106
18.01.2018	144297073008042
19.01.2018	25447730419175
20.01.2018	20194030392655
21.01.2018	25718875303424
22.01.2018	26701471478943
23.01.2018	67037079026550
24.01.2018	158749226853086
25.01.2018	34246860825966
26.01.2018	269781846977043
27.01.2018	20232130557207
28.01.2018	76930573080807
29.01.2018	172941463618679
30.01.2018	137992161614992
31.01.2018	116009803549388
01.02.2018	100883937077740
02.02.2018	40171840915410
03.02.2018	83371394916089
04.02.2018	80983927629897
05.02.2018	96516249283087
06.02.2018	191140680929460
07.02.2018	133210446093903
08.02.2018	116371699280477
09.02.2018	126650091684722
10.02.2018	79234737810271
11.02.2018	89845834211461
12.02.2018	107962742925458
13.02.2018	85071477757124
14.02.2018	74890473100608
15.02.2018	55616086500025
16.02.2018	66168180029018
17.02.2018	65839966890702
18.02.2018	57641191009646
19.02.2018	66083537374466
20.02.2018	57235092152830
21.02.2018	63269078367877
22.02.2018	84026871741276
23.02.2018	8671175034679
24.02.2018	10792941834836
25.02.2018	5724612113554
26.02.2018	67162571593487
27.02.2018	75143244872846
28.02.2018	66550445723495
01.03.2018	87791355627702
02.03.2018	91329377688831
03.03.2018	67803087912049
04.03.2018	79285252242794
05.03.2018	83290446296900
06.03.2018	60866031855839
07.03.2018	13180785155162
08.03.2018	41432753644243
09.03.2018	158604389902293
10.03.2018	102224504956740
11.03.2018	95163953805488
12.03.2018	88079007918285
13.03.2018	85737742282501
14.03.2018	78576966237936
15.03.2018	78083280990619
16.03.2018	89390899955501
17.03.2018	128076209868662
18.03.2018	92294695402306
19.03.2018	96056345469861
20.03.2018	82383100379103
21.03.2018	114519470144185
22.03.2018	28320943528002
23.03.2018	103349537892089
24.03.2018	154438412266151
25.03.2018	116654630068431
26.03.2018	129093316139406
27.03.2018	97974784761906
28.03.2018	80774826764978
29.03.2018	86202165989825
30.03.2018	55118488089058
31.03.2018	42191954276068
01.04.2018	66823752340910
02.04.2018	81850086317828
03.04.2018	61260414612091
04.04.2018	94521117131248
05.04.2018	15471632945706
06.04.2018	12062664420122
07.04.2018	13987428890529
08.04.2018	8944726318697
09.04.2018	19966937661306
10.04.2018	89785218330109
11.04.2018	152862700210066
12.04.2018	137033383435741
13.04.2018	81693191446612
14.04.2018	54413939825558
15.04.2018	68314287197316
16.04.2018	117874022021695
17.04.2018	84422934995189
18.04.2018	93434304321501
19.04.2018	115605532827653
20.04.2018	92911756115508
21.04.2018	134131082379405
22.04.2018	186514294927867
23.04.2018	195958234813901
24.04.2018	185827612950527
25.04.2018	146517829509047
26.04.2018	103680098183217
27.04.2018	78432807750237
28.04.2018	6946909147354
29.04.2018	10494921868190
30.04.2018	41724397609634
01.05.2018	114530207222270
02.05.2018	121716866650800
03.05.2018	105456434864709
04.05.2018	74644145522106
05.05.2018	54827698122457
06.05.2018	76419846707644
07.05.2018	88298656242472
08.05.2018	77547687694589
09.05.2018	45679170228849
10.05.2018	71131985533165
11.05.2018	58655053363084
12.05.2018	95855576921636
13.05.2018	114902398662530
14.05.2018	136497336908974
15.05.2018	97757665297615
16.05.2018	145449164391480
17.05.2018	51124104505365
18.05.2018	94022053705334
19.05.2018	66815174307162
20.05.2018	68526116507588
21.05.2018	64398814086446
22.05.2018	76612634082126
23.05.2018	151449528057560
24.05.2018	185009066542497
25.05.2018	127434126703778
26.05.2018	83419487741822
27.05.2018	129590410912409
28.05.2018	258234374788653
29.05.2018	148107016671406
30.05.2018	69195365125827
31.05.2018	103921164670472
01.06.2018	247043708536364
02.06.2018	181995169111363
03.06.2018	169346653805995
04.06.2018	56911169925096
05.06.2018	33464849119382
06.06.2018	34418314137769
07.06.2018	22560386381789
08.06.2018	20062705102637
09.06.2018	14423021553581
10.06.2018	26921256151151
11.06.2018	31327986862404
12.06.2018	36827989718722
13.06.2018	85960724613323
14.06.2018	102802282245526
15.06.2018	81091722174202
16.06.2018	46414383335930
17.06.2018	52317130252347
18.06.2018	99307913845785
19.06.2018	50285773763646
20.06.2018	41405032081174
21.06.2018	50835066192995
22.06.2018	82341517369413
23.06.2018	57926870276111
24.06.2018	44226767159246
25.06.2018	39184457844778
26.06.2018	33958086108589
27.06.2018	31225248662140
28.06.2018	45213640120633
29.06.2018	46948304114841
30.06.2018	26330656964397
01.07.2018	20540515501487
02.07.2018	54801043507626
03.07.2018	39522260500911
04.07.2018	43079242914519
05.07.2018	48990253481197
06.07.2018	80271395192826
07.07.2018	47367381290203
08.07.2018	50990377209018
09.07.2018	67078202835657
10.07.2018	59328793010430
11.07.2018	42400561896190
12.07.2018	66269325005223
13.07.2018	87380400313046
14.07.2018	107724762636299
15.07.2018	76780176790162
16.07.2018	125593400902998
17.07.2018	102014810952950
18.07.2018	102968294426302
19.07.2018	60926838078755
20.07.2018	54871103619843
21.07.2018	48303438104696
22.07.2018	54343737235105
23.07.2018	61610417217676
24.07.2018	89624120449414
25.07.2018	68263814452052
26.07.2018	121094491836679
27.07.2018	112664192815148
28.07.2018	59508307866304
29.07.2018	39793228736946
30.07.2018	42280219245608
31.07.2018	42067852640993
01.08.2018	74373474408492
02.08.2018	48425491796309
03.08.2018	66485511603184
04.08.2018	26623098880992
05.08.2018	34742240697347
06.08.2018	46607718488148
07.08.2018	50398750980192
08.08.2018	78473835465299
09.08.2018	52459989239875
10.08.2018	43625803980900
11.08.2018	40161204740657
12.08.2018	23647348124993
13.08.2018	66344863682763
14.08.2018	103659632445193
15.08.2018	68866787345935
16.08.2018	34859158345159
17.08.2018	40634657008358
18.08.2018	25614991839882
19.08.2018	20362518342628
20.08.2018	32936665619545
21.08.2018	66729423107561
22.08.2018	43705701729988
23.08.2018	39497848978513
24.08.2018	21871411593929
25.08.2018	41295828492013
26.08.2018	26158672514327
27.08.2018	47460028230706
28.08.2018	60267626940100
29.08.2018	35716560245068
30.08.2018	31186213982505
31.08.2018	63087665653115
01.09.2018	45204693679710
02.09.2018	27900974372652
03.09.2018	49179682753687
04.09.2018	43727240166884
05.09.2018	59106578753046
06.09.2018	81521404324773
07.09.2018	57863315726532
08.09.2018	52265265438385
09.09.2018	54970000187781
10.09.2018	76653415656851
11.09.2018	87581193988582
12.09.2018	107389725844330
13.09.2018	83846682485463
14.09.2018	53342145200943
15.09.2018	45601449862183
16.09.2018	22341492133153
17.09.2018	45964021832689
18.09.2018	63409855521581
19.09.2018	43584085186827
20.09.2018	81790506267317
21.09.2018	97812569867699
22.09.2018	58234280034182
23.09.2018	52784029184355
24.09.2018	119329137574112
25.09.2018	83793632547363
26.09.2018	94616212914347
27.09.2018	124450990007387
28.09.2018	86683786067463
29.09.2018	60538303163565
30.09.2018	68412029365323
01.10.2018	60766868053519
02.10.2018	54818349308435
03.10.2018	94575801120797
04.10.2018	79216042213285
05.10.2018	86386922399937
06.10.2018	68036240690907
07.10.2018	112539744422050
08.10.2018	73175645176566
09.10.2018	88754396036537
10.10.2018	92468240029670
11.10.2018	112218580412757
12.10.2018	134787073126262
13.10.2018	85183180954438
14.10.2018	100476367710772
15.10.2018	190049727891666
16.10.2018	78262121239363
17.10.2018	62127506891945
18.10.2018	68617248244795
19.10.2018	32386913237366
20.10.2018	79477452376172
21.10.2018	46213393467009
22.10.2018	43898847836344
23.10.2018	57118116685105
24.10.2018	53086793508237
25.10.2018	52196810083150
26.10.2018	66627954770084
27.10.2018	39254330419982
28.10.2018	32446762073850
29.10.2018	58185131534957
30.10.2018	53656745006433
31.10.2018	66423989726302
01.11.2018	47343294540993
02.11.2018	58404441243658
03.11.2018	21986957189110
04.11.2018	34744962518154
05.11.2018	55337492298276
06.11.2018	74214231900167
07.11.2018	52950902855516
08.11.2018	78410546193244
09.11.2018	99882228889082
10.11.2018	81131565675361
11.11.2018	44560627964415
12.11.2018	71538937613991
13.11.2018	72792686768525
14.11.2018	141085099008609
15.11.2018	117203339951334
16.11.2018	54137149138858
17.11.2018	58360198553024
18.11.2018	51170315014439
19.11.2018	160566060829289
20.11.2018	527583363290347
21.11.2018	275974620038280
22.11.2018	151328017663600
23.11.2018	176026501329195
24.11.2018	158833790525553
25.11.2018	120991326662151
26.11.2018	264651962766101
27.11.2018	231394588292822
28.11.2018	232568879491630
29.11.2018	262796772464530
30.11.2018	311966891117368
01.12.2018	139964528313305
02.12.2018	242905400242679
03.12.2018	167938557565830
04.12.2018	120511580747330
05.12.2018	218777547616394
06.12.2018	163114639543881
07.12.2018	217980506110209
08.12.2018	137741868927910
09.12.2018	80418188526123
