Time	sum(Output total – Blocks (LTC)) – Litecoin
10.06.2012	9243702977388
11.06.2012	10394103674949
12.06.2012	13837495190448
13.06.2012	13455760487047
14.06.2012	7508107512650
15.06.2012	20652531523224
16.06.2012	7743634745854
17.06.2012	11941248375464
18.06.2012	10748093698325
19.06.2012	15578786367418
20.06.2012	9610226239967
21.06.2012	8954542763205
22.06.2012	24072590388006
23.06.2012	31925951359964
24.06.2012	26872608159644
25.06.2012	69992685049136
26.06.2012	20681162314971
27.06.2012	14840803058742
28.06.2012	15565358236185
29.06.2012	13472095448585
30.06.2012	10307279596215
01.07.2012	17291350620872
02.07.2012	19439881581419
03.07.2012	53365131667415
04.07.2012	236370472611829
05.07.2012	44207128514688
06.07.2012	21723610706130
07.07.2012	26437899750545
08.07.2012	87815519909208
09.07.2012	65321975569477
10.07.2012	37487789614556
11.07.2012	36134876436539
12.07.2012	12065434389201
13.07.2012	29736891892730
14.07.2012	13078443809809
15.07.2012	23057304513905
16.07.2012	22799122276334
17.07.2012	32318875436673
18.07.2012	37512503844171
19.07.2012	28216547827807
20.07.2012	25070145694352
21.07.2012	20657994958332
22.07.2012	13853919953875
23.07.2012	23483093233449
24.07.2012	18640671454065
25.07.2012	29157882045825
26.07.2012	25201259858967
27.07.2012	33220198243885
28.07.2012	18792952267240
29.07.2012	27335311313743
30.07.2012	57070848157963
31.07.2012	100442772584834
01.08.2012	36675249594053
02.08.2012	53863662914502
03.08.2012	96254268539617
04.08.2012	223411763614109
05.08.2012	141449748322562
06.08.2012	53704697500100
07.08.2012	28673292975681
08.08.2012	31367999691333
09.08.2012	10279199486092
10.08.2012	30589390957249
11.08.2012	17117389442849
12.08.2012	36787092767340
13.08.2012	87138521701768
14.08.2012	95382145086935
15.08.2012	47732636318668
16.08.2012	206401477430298
17.08.2012	60679878925712
18.08.2012	31277286108669
19.08.2012	56838520018729
20.08.2012	26541739060005
21.08.2012	12956325054858
22.08.2012	15611508851262
23.08.2012	134367069676459
24.08.2012	45742622392466
25.08.2012	14446302426207
26.08.2012	43221980687879
27.08.2012	20433466855173
28.08.2012	16072647649399
29.08.2012	21483275068329
30.08.2012	18599355997887
31.08.2012	29507370559793
01.09.2012	22588497193269
02.09.2012	27367962770998
03.09.2012	21449055824000
04.09.2012	13029810531215
05.09.2012	60017020123204
06.09.2012	11150764882009
07.09.2012	16058237711202
08.09.2012	16636858493988
09.09.2012	18045667211548
10.09.2012	16928589090725
11.09.2012	15794012875898
12.09.2012	11971249804056
13.09.2012	44240137906546
14.09.2012	38852479422807
15.09.2012	51760687105658
16.09.2012	26187633921743
17.09.2012	24884992822867
18.09.2012	22103139992849
19.09.2012	88167714212617
20.09.2012	11835786624056
21.09.2012	17908658402777
22.09.2012	58230138017113
23.09.2012	19659092945051
24.09.2012	23581306278319
25.09.2012	37287274973786
26.09.2012	30652204482425
27.09.2012	56275506963770
28.09.2012	54120631590056
29.09.2012	64500400370823
30.09.2012	38556136377188
01.10.2012	50785482318226
02.10.2012	43154434077453
03.10.2012	76764336914082
04.10.2012	58726620064881
05.10.2012	27147025680915
06.10.2012	49117814321794
07.10.2012	161818752709852
08.10.2012	64243918732231
09.10.2012	85623262252324
10.10.2012	48578475961950
11.10.2012	53791050434221
12.10.2012	88266932481596
13.10.2012	76444973234645
14.10.2012	36503683427483
15.10.2012	35258489421914
16.10.2012	36094332753581
17.10.2012	52828237525442
18.10.2012	31112464386718
19.10.2012	22467302646629
20.10.2012	54438877779163
21.10.2012	43586602619409
22.10.2012	20498604089961
23.10.2012	32167565218045
24.10.2012	24458549422660
25.10.2012	23675034803386
26.10.2012	70140388490488
27.10.2012	53683961338351
28.10.2012	28742994644032
29.10.2012	38523118673684
30.10.2012	34107104965640
31.10.2012	130171264495419
01.11.2012	75485852300204
02.11.2012	37335057765660
03.11.2012	41257205432312
04.11.2012	51995334801082
05.11.2012	64334297924771
06.11.2012	44684882095748
07.11.2012	18242038229615
08.11.2012	11499121742829
09.11.2012	17208400167709
10.11.2012	26556936795794
11.11.2012	20153477560180
12.11.2012	53272437727570
13.11.2012	59779513022092
14.11.2012	14985601045634
15.11.2012	18890870765802
16.11.2012	18440669948226
17.11.2012	19218837432615
18.11.2012	9724779164818
19.11.2012	17411971102241
20.11.2012	17195525162784
21.11.2012	14302427892032
22.11.2012	16078247341381
23.11.2012	21668109800426
