Time	sum(Output total – Blocks (DOGE)) – Dogecoin
08.07.2014	836289858381361700
09.07.2014	2631596614859352600
10.07.2014	866495918886943600
11.07.2014	500854665673773500
12.07.2014	458894692221727500
13.07.2014	503913396430484600
14.07.2014	786494106541955700
15.07.2014	716958903494052600
16.07.2014	771081631186434400
17.07.2014	585435501706761500
18.07.2014	711201061432641500
19.07.2014	1225263527727680800
20.07.2014	666240690827740400
21.07.2014	527444830475656100
22.07.2014	906771762414881300
23.07.2014	696843159857270800
24.07.2014	607574550266177700
25.07.2014	337413500741304450
26.07.2014	348844900867083100
27.07.2014	397187958651650300
28.07.2014	1716541153294900700
29.07.2014	1415636606951777800
30.07.2014	388396212612337660
31.07.2014	504211422479609150
01.08.2014	426016937322440100
02.08.2014	276041972475172060
03.08.2014	725929789720647000
04.08.2014	914742210129997700
05.08.2014	2431641220059965400
06.08.2014	1067608987101306500
07.08.2014	563091568798669500
08.08.2014	383276219723617400
09.08.2014	721756160766225900
10.08.2014	1571948118765697300
11.08.2014	752275340091095900
12.08.2014	1929014225132367400
13.08.2014	1484258868658283800
14.08.2014	1223520295754961000
15.08.2014	2340893954218550000
16.08.2014	1875783401812410000
17.08.2014	2456060786521150500
18.08.2014	1772789772531437000
19.08.2014	1921313589026793700
20.08.2014	858999874184046100
21.08.2014	820825359306786300
22.08.2014	549881026470565300
23.08.2014	383195366461992500
24.08.2014	2618073689772200400
25.08.2014	1887589782257401300
26.08.2014	1636575329220338000
27.08.2014	783893660058083000
28.08.2014	602303301533624300
29.08.2014	494824694544707650
30.08.2014	392658743314634600
31.08.2014	4198648544137235000
01.09.2014	929462232065200800
02.09.2014	962749363846781700
03.09.2014	705127332901468800
04.09.2014	830053431507666300
05.09.2014	835680033901857200
06.09.2014	1023285703438075500
07.09.2014	4933166840329503000
08.09.2014	3371129840794238500
09.09.2014	1370864024318069500
10.09.2014	2230736127801562000
11.09.2014	1427514251005353200
12.09.2014	1791383804330094800
13.09.2014	5179826863111023000
14.09.2014	-8731896147268432000
15.09.2014	-4071243259317555000
16.09.2014	6578351472521434000
17.09.2014	5630001128182104000
18.09.2014	6812646141105766000
19.09.2014	3718216909018848000
20.09.2014	3319868405817937400
21.09.2014	2504411892951924700
22.09.2014	1933927155818557700
23.09.2014	2708174144593000000
24.09.2014	4062601991770917000
25.09.2014	4052854477034784300
26.09.2014	7195202642544200000
27.09.2014	3936395865573598700
28.09.2014	7186560368149469000
29.09.2014	2408017582996278300
